Node,Column
1,node_pr
1,node_betweenness_centrality
1,node_closeness_centrality
1,node_unweighted_in_degree
1,node_unweighted_in_degree.1
2,node_pr
2,node_unweighted_in_degree
2,node_unweighted_in_degree.1
3,node_pr
3,node_unweighted_in_degree
3,node_unweighted_in_degree.1
4,node_pr
4,node_unweighted_in_degree
4,node_unweighted_in_degree.1
5,node_pr
5,node_unweighted_in_degree
5,node_unweighted_in_degree.1
6,node_pr
6,node_unweighted_in_degree
6,node_unweighted_in_degree.1
7,node_pr
7,node_unweighted_in_degree
7,node_unweighted_in_degree.1
8,node_pr
8,node_betweenness_centrality
8,node_closeness_centrality
8,node_unweighted_in_degree
8,node_unweighted_in_degree.1
9,node_pr
9,node_unweighted_in_degree
9,node_unweighted_in_degree.1
10,node_pr
10,node_unweighted_in_degree
10,node_unweighted_in_degree.1
11,node_pr
11,node_unweighted_in_degree
11,node_unweighted_in_degree.1
12,node_pr
12,node_unweighted_in_degree
12,node_unweighted_in_degree.1
13,node_pr
13,node_unweighted_in_degree
13,node_unweighted_in_degree.1
14,node_pr
14,node_unweighted_in_degree
14,node_unweighted_in_degree.1
15,node_pr
15,node_unweighted_in_degree
15,node_unweighted_in_degree.1
16,node_pr
16,node_unweighted_in_degree
16,node_unweighted_in_degree.1
17,node_pr
17,node_unweighted_in_degree
17,node_unweighted_in_degree.1
18,node_pr
18,node_unweighted_in_degree
18,node_unweighted_in_degree.1
22,node_pr
22,node_unweighted_in_degree
22,node_unweighted_in_degree.1
25,node_pr
25,node_unweighted_in_degree
25,node_unweighted_in_degree.1
26,node_pr
26,node_unweighted_in_degree
26,node_unweighted_in_degree.1
30,node_pr
30,node_closeness_centrality
30,node_unweighted_in_degree
30,node_unweighted_in_degree.1
33,node_pr
33,node_unweighted_in_degree
33,node_unweighted_in_degree.1
38,node_pr
38,node_betweenness_centrality
38,node_unweighted_in_degree.1
40,node_pr
40,node_unweighted_in_degree
40,node_unweighted_in_degree.1
43,node_betweenness_centrality
43,node_closeness_centrality
43,node_unweighted_in_degree.1
46,node_pr
46,node_betweenness_centrality
46,node_closeness_centrality
58,node_pr
58,node_unweighted_in_degree
58,node_unweighted_in_degree.1
177,node_pr
177,node_unweighted_in_degree
177,node_unweighted_in_degree.1
